Letter_Control_Condition,Letter_Experimental_Condition,correct,response,response_KBR_Control,response_KBR_Control_1,response_KBR_Experimental,response_KBR_Experimental_2,response_time
Z,NA,1,m,m,NA,NA,NA,1000
Y,NA,1,m,m,NA,NA,NA,359
O,NA,1,m,m,NA,NA,NA,277
C,NA,1,m,m,NA,NA,NA,355
H,NA,1,m,m,NA,NA,NA,543
H,Y,1,m,m,NA,m,NA,564
H,K,1,m,m,NA,m,NA,309
H,J,1,m,m,NA,m,NA,422
H,W,1,m,m,NA,m,NA,577
H,X,0,m,m,NA,m,NA,1159
F,X,1,m,m,m,m,NA,1040
A,X,1,m,m,m,m,NA,306
S,X,1,m,m,m,m,NA,331
G,X,1,m,m,m,m,NA,332
T,X,1,m,m,m,m,NA,324
Q,X,1,m,m,m,m,NA,271
C,X,1,m,m,m,m,NA,742
L,X,1,m,m,m,m,NA,321
U,X,1,m,m,m,m,NA,301
H,X,1,m,m,m,m,NA,355
R,X,1,m,m,m,m,NA,407
W,X,1,m,m,m,m,NA,361
K,X,1,m,m,m,m,NA,358
K,X,1,None,m,m,m,None,1998
K,X,0,m,m,m,m,m,287
K,K,1,m,m,m,m,m,454
K,D,1,m,m,m,m,m,563
K,X,0,m,m,m,m,m,459
K,X,0,m,m,m,m,m,318
K,X,1,None,m,m,m,None,1998
K,W,1,m,m,m,m,m,505
K,Y,1,m,m,m,m,m,443
K,O,1,m,m,m,m,m,370
K,J,1,m,m,m,m,m,347
K,X,1,None,m,m,m,None,1998
K,X,1,None,m,m,m,None,1998
C,X,1,m,m,m,m,None,852
P,X,1,m,m,m,m,None,867
R,X,1,m,m,m,m,None,331
T,X,1,m,m,m,m,None,370
O,X,1,m,m,m,m,None,335
D,X,1,m,m,m,m,None,471
A,X,1,m,m,m,m,None,663
F,X,1,m,m,m,m,None,690
Y,X,1,m,m,m,m,None,295
Q,X,1,m,m,m,m,None,260
I,X,1,m,m,m,m,None,274
K,X,1,m,m,m,m,None,379
W,X,1,m,m,m,m,None,1215
W,W,0,None,m,m,m,None,1999
W,X,0,m,m,m,m,m,530
W,X,0,m,m,m,m,m,308
W,X,1,None,m,m,m,None,1999
W,X,1,None,m,m,m,None,1997
W,A,1,m,m,m,m,m,436
W,X,1,None,m,m,m,None,1998
W,K,1,m,m,m,m,m,484
W,X,1,None,m,m,m,None,1998
W,Y,1,m,m,m,m,m,488
W,I,1,m,m,m,m,m,325
W,X,1,None,m,m,m,None,1999
W,G,1,m,m,m,m,m,323
T,G,1,m,m,m,m,m,595
P,G,1,m,m,m,m,m,361
F,G,1,m,m,m,m,m,300
I,G,1,m,m,m,m,m,270
Y,G,1,m,m,m,m,m,274
C,G,1,m,m,m,m,m,580
U,G,1,m,m,m,m,m,402
W,G,1,m,m,m,m,m,364
O,G,1,m,m,m,m,m,391
Q,G,1,m,m,m,m,m,443
A,G,1,m,m,m,m,m,562
D,G,1,m,m,m,m,m,423
H,G,1,m,m,m,m,m,384
H,R,0,None,m,m,m,None,1998
H,X,1,None,m,m,m,None,1999
H,G,0,None,m,m,m,None,1998
H,D,0,None,m,m,m,None,1998
H,X,1,None,m,m,m,None,1999
H,X,1,None,m,m,m,None,1998
H,X,1,None,m,m,m,None,1997
H,A,0,None,m,m,m,None,1999
H,W,1,m,m,m,m,m,1332
H,X,0,m,m,m,m,m,569
H,J,0,None,m,m,m,None,1998
H,X,0,m,m,m,m,m,1184
H,I,1,m,m,m,m,m,401
P,I,0,None,m,None,m,m,1999
L,I,0,None,m,None,m,m,1999
S,I,0,None,m,None,m,m,1998
F,I,0,None,m,None,m,m,1998
T,I,0,None,m,None,m,m,1998
A,I,1,m,m,m,m,m,707
Z,I,1,m,m,m,m,m,456
U,I,1,m,m,m,m,m,642
G,I,1,m,m,m,m,m,267
D,I,1,m,m,m,m,m,380
H,I,1,m,m,m,m,m,371
R,I,1,m,m,m,m,m,477
Q,I,1,m,m,m,m,m,464
Q,X,1,None,m,m,m,None,1999
Q,X,1,None,m,m,m,None,1998
Q,I,1,m,m,m,m,m,444
Q,A,1,m,m,m,m,m,544
Q,X,0,m,m,m,m,m,387
Q,G,1,m,m,m,m,m,258
Q,Y,1,m,m,m,m,m,344
Q,X,0,m,m,m,m,m,284
Q,D,1,m,m,m,m,m,364
Q,X,1,None,m,m,m,None,1998
Q,R,1,m,m,m,m,m,284
Q,K,1,m,m,m,m,m,484
Q,J,1,m,m,m,m,m,345
H,J,1,m,m,m,m,m,575
A,J,1,m,m,m,m,m,301
L,J,1,m,m,m,m,m,293
S,J,1,m,m,m,m,m,249
Q,J,1,m,m,m,m,m,352
U,J,1,m,m,m,m,m,492
C,J,1,m,m,m,m,m,367
G,J,1,m,m,m,m,m,1086
Z,J,1,m,m,m,m,m,1707
F,J,1,m,m,m,m,m,720
J,J,1,m,m,m,m,m,559
K,J,1,m,m,m,m,m,358
W,J,0,None,m,None,m,m,1998
W,X,1,None,m,None,m,None,1999
W,X,1,None,m,None,m,None,1998
W,I,0,None,m,None,m,None,1997
W,R,0,None,m,None,m,None,1998
W,Y,0,None,m,None,m,None,1997
W,X,1,None,m,None,m,None,1999
W,G,0,None,m,None,m,None,1998
W,D,0,None,m,None,m,None,1999
W,J,0,None,m,None,m,None,1999
W,A,0,None,m,None,m,None,1997
W,X,1,None,m,None,m,None,1999
W,O,0,None,m,None,m,None,1998
W,X,1,None,m,None,m,None,1999
O,X,0,None,m,None,m,None,1999
P,X,0,None,m,None,m,None,1999
I,X,0,None,m,None,m,None,1999
R,X,0,None,m,None,m,None,1998
G,X,0,None,m,None,m,None,1998
D,X,0,None,m,None,m,None,1999
Q,X,0,None,m,None,m,None,1998
U,X,0,None,m,None,m,None,1998
S,X,0,None,m,None,m,None,1998
J,X,0,None,m,None,m,None,1998
C,X,0,None,m,None,m,None,1998
K,X,0,None,m,None,m,None,1998
L,X,0,None,m,None,m,None,1997
L,K,0,None,m,None,m,None,1999
L,X,1,None,m,None,m,None,1998
L,X,1,None,m,None,m,None,1998
L,X,1,None,m,None,m,None,1997
L,G,0,None,m,None,m,None,1998
L,D,0,None,m,None,m,None,1999
L,J,0,None,m,None,m,None,1999
L,W,0,None,m,None,m,None,1998
L,X,1,None,m,None,m,None,1997
L,X,1,None,m,None,m,None,1998
L,X,1,None,m,None,m,None,1998
L,Y,0,None,m,None,m,None,1997
L,I,0,None,m,None,m,None,1997
